# of Function,# of instructions,Load Store Registers (L/S Fully Aligned),                            Packed Operand (Non-L/S Semi Aligned),Optimized Operand (Non-L/S Fully Aligned),                            Load Store Operand (L/S Fully Aligned),Packed Data (Non-L/S Semi Aligned),                            Optimized Data (Non-L/S Fully Aligned),Load Store Data (L/S Fully Aligned),Packed Program (Non-L/S Semi Aligned),                            Optimized Program (Non-L/S Fully Aligned),Load Store Program (L/S Fully Aligned),Packed Total (Non-L/S Semi Aligned),                            Optimized Total (Non-L/S Fully Aligned),Load Store Total (L/S Fully Aligned),                            Optimized vs Packed,Optimized vs Load Store,                            L,S,C
515,132664,512,13,11,9,27232,27872,22160,3979920,3449264,3229996.79799752,2017192,1752504,1637158.39899876,0.868783933309273,1.07045475933898,503,509,454
501,128686,256,12,10,9,15472,15592,14120,3603208,3088464,3383956.12366258,1817076,1559824,1706098.06183129,0.858425294263971,0.914263977491257,282,279,263
394,94094,512,13,11,9,30232,30264,22232,2822820,2446444,2285088.76950874,1441642,1253486,1164776.38475437,0.86948493453992,1.07616021101281,565,515,493
81,22086,512,13,11,9,30496,30712,21192,662580,574236,547105.067910124,361786,317830,294744.533955062,0.87850276130088,1.07832364432739,584,500,503
60,15199,256,13,10,9,17128,17536,11560,455970,364776,378107.817619305,245113,199924,200613.908809653,0.815640133326262,0.996561012076649,303,292,396
493,127741,512,14,12,10,41216,41536,27560,4087712,3576748,3079178.7755613,2085072,1829910,1567149.38778065,0.877624369805935,1.16766787791141,760,720,712
318,83547,512,13,11,9,31872,32496,23112,2506410,2172222,2078836.54196909,1285077,1118607,1062530.27098455,0.870459124239248,1.05277659427387,592,555,584
327,84468,512,13,11,8,20832,21464,17472,2534040,2196168,1996663.14963706,1287852,1119548,1015803.57481853,0.869314175852505,1.1021303997675,419,325,357
185,43060,512,14,11,9,35360,35544,23496,1377920,1119560,1094180.519307,724320,595324,570586.259653498,0.821907444223548,1.04335495278404,636,645,609
463,117290,1024,14,12,7,39752,40512,27192,3753280,3284120,2917022.89063953,1916392,1682572,1485703.44531977,0.877989471882579,1.13250864787344,700,764,736
108,28107,512,13,11,9,20328,20328,17272,843210,730782,699697.215850547,441933,385719,367120.607925274,0.87279972303494,1.0506601690922,392,328,317
173,43471,512,13,11,8,22320,22664,16376,1304130,1130246,1026888.39730327,674385,587787,529820.198651634,0.871589670588759,1.1094084398743,402,396,433
